FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE_AGGR,Aggregato,BRKDW_INDUSTRY_NACE_REV2,Branca di attività economica (ATECO 2007),EMPLOYMENT_STATUS,Posizione nella professione,ADJUSTMENT,Correzione,EDITION,Edizione,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione',NOTE_REF_AREA,Territorio (NOTE_REF_AREA),NOTE_DATA_TYPE_AGGR,Aggregato (NOTE_DATA_TYPE_AGGR),NOTE_BRKDW_INDUSTRY_NACE_REV2,Branca di attività economica (ATECO 2007) (NOTE_BRKDW_INDUSTRY_NACE_REV2),NOTE_EMPLOYMENT_STATUS,Posizione nella professione (NOTE_EMPLOYMENT_STATUS),NOTE_ADJUSTMENT,Correzione (NOTE_ADJUSTMENT),NOTE_EDITION,Edizione (NOTE_EDITION),BASE_PER,Anno base,UNIT_MEAS,Unità di misura,UNIT_MULT,Unità di moltiplicazione
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,1998-Q2,10209386.5,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,1998-Q3,10200871.3,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,1998-Q4,10232175.4,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,1999-Q1,10131731.5,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,1999-Q2,10324024.3,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,1999-Q3,10295129.1,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,1999-Q4,10360394.5,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,2000-Q1,10405704.5,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,2000-Q2,10432332.5,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,2000-Q3,10495259.8,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,2000-Q4,10488751.1,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,2001-Q1,10621070.7,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,2001-Q2,10514316.8,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,2001-Q3,10513186.5,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,2001-Q4,10595610.4,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,2002-Q1,10613221.1,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,2002-Q2,10657378.7,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,2002-Q3,10663813.9,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,2002-Q4,10673876.6,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,2003-Q1,10752416.4,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,2003-Q2,10752719.8,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,2003-Q3,10729842.9,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,2003-Q4,10792558.6,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,2004-Q1,10738635.3,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,2004-Q2,10701556.5,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,2004-Q3,10744425.7,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,2004-Q4,10765205.3,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,2005-Q1,10787211.9,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,2005-Q2,10849916.1,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,2005-Q3,10767430.1,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,2005-Q4,10897806.7,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,2006-Q1,10960002.6,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,2006-Q2,11067468.3,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,2006-Q3,11098961.9,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,2006-Q4,11196138.6,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,2007-Q1,11147423,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,2007-Q2,11156741.1,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,2007-Q3,11265203.7,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,2007-Q4,11235737.2,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,2008-Q1,11289717.9,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
Q,Trimestrale,IT,Italia,HW,Ore lavorate (migliaia),_T,Totale attività economiche,9,Totale,Y,Dati destagionalizzati,2025M11,Nov-2025,2008-Q2,11193073,,,,,,,,,,,CORREZ__Y_N1,Dati destagionalizzati:sono al netto delle fluttuazioni stagionali. I dati destagionalizzati si intendono anche corretti per gli effetti di calendario laddove questi risultano significativi. La correzione per gli effetti di calendario e la destagionalizzazione sono effettuate utilizzando la procedura Tramo–Seats.,,,,,,,,
