FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2021-Q1,56.066286,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2021-Q2,58.18831,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2021-Q3,59.161019,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2021-Q4,59.492931,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2022-Q1,59.100356,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2022-Q2,60.462567,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2022-Q3,60.283463,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2022-Q4,60.723967,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2023-Q1,60.627308,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2023-Q2,61.613873,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2023-Q3,61.561669,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2023-Q4,62.114889,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2024-Q1,61.568886,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2024-Q2,62.289228,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2024-Q3,62.566258,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2024-Q4,62.29614,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2025-Q1,62.47752,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2025-Q2,62.701995,,
Q,Trimestrale,IT,Italia,EMP_R,Tasso di occupazione,9,Totale,Y15-64,15-64 anni,2025-Q3,62.524604,,
